ï»¿id,sender_name,sender_email,subject,body,cleaned_text,category,urgency
95,Nina Brown,nina.brown@gmail.com,Team cannot login after password change,This is affecting my ability to complete billing tasks. I'm unable to log in since this morning. I tried resetting the password but the reset link doesn't arrive. Every time I enter my credentials I get an 'invalid password' message. This is urgent and affecting multiple users.,team cannot login password change affecting ability complete billing task im unable log since morning tried resetting password reset link doesnt arrive every time enter credential get invalid password message urgent affecting multiple user,feedback,high
107,Quinn Khan,quinn.khan@gmail.com,Service down for my team,Every time I enter my credentials I get an 'invalid password' message. I'm unable to log in since this morning. My account shows as locked and I need access for an urgent client call. This is affecting my ability to complete billing tasks.,service team every time enter credential get invalid password message im unable log since morning account show locked need access urgent client call affecting ability complete billing task,feedback,high
121,Yara Martin,yara.martin@umbrella.com,Need access to new project folder,I can confirm my identity if required. Could you please reset my password and send the link to my email? Please let me know what information you need from my side.,need access new project folder confirm identity required could please reset password send link email please let know information need side,feedback,low
58,Grace Sharma,grace.sharma91@hotmail.com,Files missing after update,Every time I enter my credentials I get an 'invalid password' message. I tried resetting the password but the reset link doesn't arrive. My account shows as locked and I need access for an urgent client call. I'm unable to log in since this morning.,file missing update every time enter credential get invalid password message tried resetting password reset link doesnt arrive account show locked need access urgent client call im unable log since morning,feedback,high
127,Ryan Wright,ryan.wright@hotmail.com,Request to add billing contact,A payment attempt failed and my subscription shows as suspended. This is blocking our team's access to premium features. I need help reprocessing the failed payment and restoring access. Please let me know what information you need from my side.,request add billing contact payment attempt failed subscription show suspended blocking team access premium feature need help reprocessing failed payment restoring access please let know information need side,request,medium
156,Ian Wilson,ian.wilson@outlook.com,Need access to new project folder,Can you add an option to filter by user role in the dashboard? Please consider adding keyboard shortcuts for power users. Please let me know what information you need from my side.,need access new project folder add option filter user role dashboard please consider adding keyboard shortcut power user please let know information need side,feedback,low
204,Siddharth Khan,siddharth.khan44@gmail.com,Feature suggestion for reports,Overall experience has improved since the last release. The new update made the interface much more intuitive.,feature suggestion report overall experience improved since last release new update made interface much intuitive,feedback,low
10,Sunil Lopez,sunil.lopez69@gmail.com,Email notifications stopped working,My account shows as locked and I need access for an urgent client call. Every time I enter my credentials I get an 'invalid password' message. This is affecting my ability to complete billing tasks. This is urgent and affecting multiple users.,email notification stopped working account show locked need access urgent client call every time enter credential get invalid password message affecting ability complete billing task urgent affecting multiple user,feedback,high
59,Automated Sender,billing@cloudwave.com,Feature X broke after latest patch,A payment attempt failed and my subscription shows as suspended. Can someone confirm whether the refund has been initiated? I need help reprocessing the failed payment and restoring access. This is urgent and affecting multiple users.,feature x broke latest patch payment attempt failed subscription show suspended someone confirm whether refund initiated need help reprocessing failed payment restoring access urgent affecting multiple user,request,high
66,Uma Wright,uma.wright62@outlook.com,App crashing on startup,I'm on Android 12 and the crash happens every time I try to upload a file. Attached are the steps to reproduce and a screenshot of the error. The mobile app crashes immediately after tapping 'Start'. I reinstalled the app but the issue persists.,app crashing startup im android 12 crash happens every time try upload file attached step reproduce screenshot error mobile app crash immediately tapping start reinstalled app issue persists,complaint,high
90,Ian Young,ian.young17@gmail.com,Feature X broke after latest patch,I tried resetting the password but the reset link doesn't arrive. My account shows as locked and I need access for an urgent client call. This is affecting my ability to complete billing tasks. Every time I enter my credentials I get an 'invalid password' message.,feature x broke latest patch tried resetting password reset link doesnt arrive account show locked need access urgent client call affecting ability complete billing task every time enter credential get invalid password message,feedback,high
205,Cameron Scott,cameron.scott@hotmail.com,App improvements - readability,"Support was very helpful and explained the steps clearly. Thanks for resolving the issue quickly, the team really appreciated it. Good job on the recent improvements Ã¢â¬â noticed fewer errors. My account ID is 720970.",app improvement readability support helpful explained step clearly thanks resolving issue quickly team really appreciated good job recent improvement ã¢â¬â noticed fewer error account id 720970,complaint,medium
222,Taylor Moore,taylor.moore@yahoo.com,Positive experience with support,It would be great if the reports could include CSV export by date range. This feature would really speed up our daily workflows. Thanks again for the team effort. My account ID is 722518.,positive experience support would great report could include csv export date range feature would really speed daily workflow thanks team effort account id 722518,feedback,low
146,Riley Garcia,riley.garcia@netcore.com,How to export my data?,This feature would really speed up our daily workflows. A dark mode would be appreciated for long working hours. It would be great if the reports could include CSV export by date range. Please let me know what information you need from my side.,export data feature would really speed daily workflow dark mode would appreciated long working hour would great report could include csv export date range please let know information need side,feedback,low
140,Noah Garcia,noah.garcia@outlook.com,Need access to new project folder,If you can enable a temporary password that would help. Could you please reset my password and send the link to my email? Please let me know what information you need from my side.,need access new project folder enable temporary password would help could please reset password send link email please let know information need side,request,medium
137,Meera Young,meera.young@yahoo.com,Please increase API rate limit,Could you please reset my password and send the link to my email? I can confirm my identity if required. Please let me know what information you need from my side.,please increase api rate limit could please reset password send link email confirm identity required please let know information need side,feedback,low
89,Hannah Clark,hannah.clark@netcore.com,Unable to access my account - urgent,My account shows as locked and I need access for an urgent client call. This is affecting my ability to complete billing tasks. I tried resetting the password but the reset link doesn't arrive. This is urgent and affecting multiple users.,unable access account urgent account show locked need access urgent client call affecting ability complete billing task tried resetting password reset link doesnt arrive urgent affecting multiple user,feedback,high
94,Grace Young,grace.young@acme.com,Service down for my team,Every time I enter my credentials I get an 'invalid password' message. This is affecting my ability to complete billing tasks. I tried resetting the password but the reset link doesn't arrive. My account shows as locked and I need access for an urgent client call. This is urgent and affecting multiple users. My account ID is 986438.,service team every time enter credential get invalid password message affecting ability complete billing task tried resetting password reset link doesnt arrive account show locked need access urgent client call urgent affecting multiple user account id 986438,feedback,high
172,Drew Wilson,drew.wilson@outlook.com,How to export my data?,A dark mode would be appreciated for long working hours. This feature would really speed up our daily workflows. It would be great if the reports could include CSV export by date range. Please let me know what information you need from my side.,export data dark mode would appreciated long working hour feature would really speed daily workflow would great report could include csv export date range please let know information need side,feedback,low
1,Sonia Brown,sonia.brown@acme.com,Payment failed and account suspended,Can you check the server logs and let us know what's causing this? Our staging server has been down intermittently for the past two hours. My account ID is 198246.,payment failed account suspended check server log let u know whats causing staging server intermittently past two hour account id 198246,feedback,low
224,Liam Baker,liam.baker49@outlook.com,App improvements - readability,"Overall experience has improved since the last release. Thanks for resolving the issue quickly, the team really appreciated it. My account ID is 468247.",app improvement readability overall experience improved since last release thanks resolving issue quickly team really appreciated account id 468247,complaint,low
178,Hannah Brown,hannah.brown@outlook.com,Requesting environment access for QA,"I've tried the 'forgot password' option but it fails at verification. I don't have access to my recovery phone, so I can't complete the flow. If you can enable a temporary password that would help. Please let me know what information you need from my side.",requesting environment access qa ive tried forgot password option fails verification dont access recovery phone cant complete flow enable temporary password would help please let know information need side,request,medium
2,Xavier Johnson,xavier.johnson@gmail.com,Server error 500 on reports,Can you check the server logs and let us know what's causing this? Several users reported timeouts when trying to run reports. Our staging server has been down intermittently for the past two hours. My account ID is 543143.,server error 500 report check server log let u know whats causing several user reported timeouts trying run report staging server intermittently past two hour account id 543143,feedback,low
113,Automated Sender,billing@umbrella.com,Files missing after update,My account shows as locked and I need access for an urgent client call. Every time I enter my credentials I get an 'invalid password' message. I tried resetting the password but the reset link doesn't arrive. This is urgent and affecting multiple users.,file missing update account show locked need access urgent client call every time enter credential get invalid password message tried resetting password reset link doesnt arrive urgent affecting multiple user,feedback,high
188,Morgan Wilson,morgan.wilson@company.com,Requesting refund for failed payment,"Can someone confirm whether the refund has been initiated? The transaction went through on my bank, but the app still shows unpaid. I need help reprocessing the failed payment and restoring access. Please let me know what information you need from my side.",requesting refund failed payment someone confirm whether refund initiated transaction went bank app still show unpaid need help reprocessing failed payment restoring access please let know information need side,request,medium
15,Automated Sender,support@acme.com,Email notifications stopped working,Every time I enter my credentials I get an 'invalid password' message. I tried resetting the password but the reset link doesn't arrive. My account shows as locked and I need access for an urgent client call. This is affecting my ability to complete billing tasks. This is urgent and affecting multiple users. My account ID is 698782.,email notification stopped working every time enter credential get invalid password message tried resetting password reset link doesnt arrive account show locked need access urgent client call affecting ability complete billing task urgent affecting multiple user account id 698782,feedback,high
129,Yara Sharma,yara.sharma@hotmail.com,Request to add billing contact,"Could you please reset my password and send the link to my email? I don't have access to my recovery phone, so I can't complete the flow. I've tried the 'forgot password' option but it fails at verification. Please let me know what information you need from my side.",request add billing contact could please reset password send link email dont access recovery phone cant complete flow ive tried forgot password option fails verification please let know information need side,request,low
12,Priya Anderson,priya.anderson@acme.com,Service down for my team,"The transaction went through on my bank, but the app still shows unpaid. A payment attempt failed and my subscription shows as suspended. Can someone confirm whether the refund has been initiated?",service team transaction went bank app still show unpaid payment attempt failed subscription show suspended someone confirm whether refund initiated,request,medium
5,Maya Brown,maya.brown@globex.com,Email notifications stopped working,Several users reported timeouts when trying to run reports. The application returns a 503 error under normal load. Can you check the server logs and let us know what's causing this? This is urgent and affecting multiple users.,email notification stopped working several user reported timeouts trying run report application return 503 error normal load check server log let u know whats causing urgent affecting multiple user,feedback,high
149,Automated Sender,support@umbrella.com,Request: password reset,"Can someone confirm whether the refund has been initiated? The transaction went through on my bank, but the app still shows unpaid. This is blocking our team's access to premium features. Please let me know what information you need from my side.",request password reset someone confirm whether refund initiated transaction went bank app still show unpaid blocking team access premium feature please let know information need side,request,medium
100,Automated Sender,it@initech.com,Payment failed and account suspended,I'm on Android 12 and the crash happens every time I try to upload a file. I reinstalled the app but the issue persists. The mobile app crashes immediately after tapping 'Start'. Please advise on a workaround Ã¢â¬â we need this for our demo tomorrow. My account ID is 119651.,payment failed account suspended im android 12 crash happens every time try upload file reinstalled app issue persists mobile app crash immediately tapping start please advise workaround ã¢â¬â need demo tomorrow account id 119651,complaint,high
232,Frank Singh,frank.singh@yahoo.com,Exclusive deal just for you,"This is a limited time offer, no purchase necessary.",exclusive deal limited time offer purchase necessary,spam,low
187,Will Allen,will.allen@starkindustries.com,Please enable SSO for my account,"I don't have access to my recovery phone, so I can't complete the flow. I can confirm my identity if required. Please let me know what information you need from my side.",please enable sso account dont access recovery phone cant complete flow confirm identity required please let know information need side,feedback,low
186,Yara Adams,yara.adams@outlook.com,Request: password reset,This feature would really speed up our daily workflows. Please consider adding keyboard shortcuts for power users. Please let me know what information you need from my side.,request password reset feature would really speed daily workflow please consider adding keyboard shortcut power user please let know information need side,request,low
19,Automated Sender,it@starkindustries.com,Files missing after update,This is blocking our team's access to premium features. Can someone confirm whether the refund has been initiated? A payment attempt failed and my subscription shows as suspended. This is urgent and affecting multiple users. My account ID is 161324.,file missing update blocking team access premium feature someone confirm whether refund initiated payment attempt failed subscription show suspended urgent affecting multiple user account id 161324,request,high
122,Liam Brown,liam.brown@hotmail.com,Need access to new project folder,Could you please reset my password and send the link to my email? I've tried the 'forgot password' option but it fails at verification. Please let me know what information you need from my side. My account ID is 469412.,need access new project folder could please reset password send link email ive tried forgot password option fails verification please let know information need side account id 469412,feedback,low
171,Drew Lopez,drew.lopez57@gmail.com,Requesting refund for failed payment,I can confirm my identity if required. I've tried the 'forgot password' option but it fails at verification. Please let me know what information you need from my side. My account ID is 867051.,requesting refund failed payment confirm identity required ive tried forgot password option fails verification please let know information need side account id 867051,request,medium
219,Morgan Scott,morgan.scott@wayneenterprises.com,Suggestion: more export formats,Please consider adding keyboard shortcuts for power users. Can you add an option to filter by user role in the dashboard?,suggestion export format please consider adding keyboard shortcut power user add option filter user role dashboard,feedback,low
154,Xavier Wright,xavier.wright14@outlook.com,Please increase API rate limit,It would be great if the reports could include CSV export by date range. Can you add an option to filter by user role in the dashboard? Please let me know what information you need from my side.,please increase api rate limit would great report could include csv export date range add option filter user role dashboard please let know information need side,feedback,low
86,Blake Singh,blake.singh@cloudwave.com,Team cannot login after password change,The application returns a 503 error under normal load. Can you check the server logs and let us know what's causing this? We noticed CPU spikes and very slow response times after the update. Our staging server has been down intermittently for the past two hours.,team cannot login password change application return 503 error normal load check server log let u know whats causing noticed cpu spike slow response time update staging server intermittently past two hour,feedback,low
211,Olivia Wright,olivia.wright@hotmail.com,Kudos to the team,"Overall experience has improved since the last release. Thanks for resolving the issue quickly, the team really appreciated it. My account ID is 134283.",kudos team overall experience improved since last release thanks resolving issue quickly team really appreciated account id 134283,complaint,low
133,Sam Thomas,sam.thomas@hotmail.com,How to export my data?,It would be great if the reports could include CSV export by date range. A dark mode would be appreciated for long working hours. Please let me know what information you need from my side.,export data would great report could include csv export date range dark mode would appreciated long working hour please let know information need side,feedback,low
93,Xavier Sharma,xavier.sharma@yahoo.com,Email notifications stopped working,We noticed CPU spikes and very slow response times after the update. Several users reported timeouts when trying to run reports.,email notification stopped working noticed cpu spike slow response time update several user reported timeouts trying run report,feedback,low
226,Ian Scott,ian.scott36@hotmail.com,Feature suggestion for reports,"Thanks for resolving the issue quickly, the team really appreciated it. Good job on the recent improvements Ã¢â¬â noticed fewer errors. Overall experience has improved since the last release.",feature suggestion report thanks resolving issue quickly team really appreciated good job recent improvement ã¢â¬â noticed fewer error overall experience improved since last release,complaint,low
74,Rakesh Brown,rakesh.brown@hotmail.com,Files missing after update,"This is blocking our team's access to premium features. The transaction went through on my bank, but the app still shows unpaid. A payment attempt failed and my subscription shows as suspended. Can someone confirm whether the refund has been initiated?",file missing update blocking team access premium feature transaction went bank app still show unpaid payment attempt failed subscription show suspended someone confirm whether refund initiated,request,medium
131,Avery Khan,avery.khan10@hotmail.com,Requesting environment access for QA,I've tried the 'forgot password' option but it fails at verification. Could you please reset my password and send the link to my email? I can confirm my identity if required. Please let me know what information you need from my side.,requesting environment access qa ive tried forgot password option fails verification could please reset password send link email confirm identity required please let know information need side,request,low
175,Vince Garcia,vince.garcia@netcore.com,Can I get admin privileges?,It would be great if the reports could include CSV export by date range. Please consider adding keyboard shortcuts for power users. Can you add an option to filter by user role in the dashboard? Please let me know what information you need from my side. My account ID is 859782.,get admin privilege would great report could include csv export date range please consider adding keyboard shortcut power user add option filter user role dashboard please let know information need side account id 859782,feedback,low
69,Maya King,maya.king@company.com,Payment failed and account suspended,I'm on Android 12 and the crash happens every time I try to upload a file. I reinstalled the app but the issue persists.,payment failed account suspended im android 12 crash happens every time try upload file reinstalled app issue persists,complaint,low
191,Maya Wright,maya.wright@yahoo.com,App improvements - readability,A dark mode would be appreciated for long working hours. It would be great if the reports could include CSV export by date range. Please consider adding keyboard shortcuts for power users. Thanks again for the team effort.,app improvement readability dark mode would appreciated long working hour would great report could include csv export date range please consider adding keyboard shortcut power user thanks team effort,feedback,low
216,Jamie Hill,jamie.hill@globex.com,Feedback: mobile app layout,"The new update made the interface much more intuitive. Overall experience has improved since the last release. Thanks for resolving the issue quickly, the team really appreciated it. Thanks again for the team effort.",feedback mobile app layout new update made interface much intuitive overall experience improved since last release thanks resolving issue quickly team really appreciated thanks team effort,complaint,low
161,Elliot Hernandez,elliot.hernandez@gmail.com,Need access to new project folder,"The transaction went through on my bank, but the app still shows unpaid. Can someone confirm whether the refund has been initiated? I need help reprocessing the failed payment and restoring access. Please let me know what information you need from my side.",need access new project folder transaction went bank app still show unpaid someone confirm whether refund initiated need help reprocessing failed payment restoring access please let know information need side,request,medium
135,Dana Walker,dana.walker@acme.com,Please enable SSO for my account,Can you add an option to filter by user role in the dashboard? A dark mode would be appreciated for long working hours. Please consider adding keyboard shortcuts for power users. Please let me know what information you need from my side.,please enable sso account add option filter user role dashboard dark mode would appreciated long working hour please consider adding keyboard shortcut power user please let know information need side,feedback,low
157,Noah Scott,noah.scott@gmail.com,Can I get admin privileges?,I've tried the 'forgot password' option but it fails at verification. Could you please reset my password and send the link to my email? Please let me know what information you need from my side.,get admin privilege ive tried forgot password option fails verification could please reset password send link email please let know information need side,feedback,low
21,Noah Khan,noah.khan@umbrella.com,Feature X broke after latest patch,Can you check the server logs and let us know what's causing this? Our staging server has been down intermittently for the past two hours. Several users reported timeouts when trying to run reports. We noticed CPU spikes and very slow response times after the update.,feature x broke latest patch check server log let u know whats causing staging server intermittently past two hour several user reported timeouts trying run report noticed cpu spike slow response time update,feedback,low
30,Cameron Patel,cameron.patel@yahoo.com,Severe slowdown on dashboard,I tried resetting the password but the reset link doesn't arrive. My account shows as locked and I need access for an urgent client call. This is affecting my ability to complete billing tasks.,severe slowdown dashboard tried resetting password reset link doesnt arrive account show locked need access urgent client call affecting ability complete billing task,complaint,high
75,Kavita Brown,kavita.brown@hotmail.com,Server error 500 on reports,I'm on Android 12 and the crash happens every time I try to upload a file. Attached are the steps to reproduce and a screenshot of the error.,server error 500 report im android 12 crash happens every time try upload file attached step reproduce screenshot error,feedback,low
126,Chris Lopez,chris.lopez@outlook.com,Please enable SSO for my account,"Could you please reset my password and send the link to my email? I can confirm my identity if required. I don't have access to my recovery phone, so I can't complete the flow. Please let me know what information you need from my side.",please enable sso account could please reset password send link email confirm identity required dont access recovery phone cant complete flow please let know information need side,feedback,low
124,Jordan Anderson,jordan.anderson@yahoo.com,How to export my data?,"A payment attempt failed and my subscription shows as suspended. The transaction went through on my bank, but the app still shows unpaid. Can someone confirm whether the refund has been initiated? Please let me know what information you need from my side.",export data payment attempt failed subscription show suspended transaction went bank app still show unpaid someone confirm whether refund initiated please let know information need side,request,medium
61,Nina King,nina.king@gmail.com,Payment failed and account suspended,Attached are the steps to reproduce and a screenshot of the error. I reinstalled the app but the issue persists. The mobile app crashes immediately after tapping 'Start'. I'm on Android 12 and the crash happens every time I try to upload a file.,payment failed account suspended attached step reproduce screenshot error reinstalled app issue persists mobile app crash immediately tapping start im android 12 crash happens every time try upload file,complaint,high
170,Jordan Scott,jordan.scott@gmail.com,Request: password reset,It would be great if the reports could include CSV export by date range. This feature would really speed up our daily workflows. Please let me know what information you need from my side.,request password reset would great report could include csv export date range feature would really speed daily workflow please let know information need side,request,low
